VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH WEIGHT,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video,StockNumber,Img,Jewlery Video,JewelryType,Style,Metal,DiaWt,MainStone,Description ,Header,Main,Secondary
R1.0L40006A000,Round,1.04,I,VVS1,EX,EX,EX,F,GIA,4.09,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481688711.pdf,https://v3602586.v360.in/vision360.html?d=L40006,https://v3602586.v360.in/vision360.html?d=R1.0L40006A000,,,,,,,,,,,,
R1.0L40006B000,Round,1.02,J,VVS2,EX,EX,EX,F,GIA,4.09,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482688744.pdf,https://v3602586.v360.in/vision360.html?d=L40006,https://v3602586.v360.in/vision360.html?d=R1.0L40006B000,,,,,,,,,,,,
R1.0L40009B000,Round,1.01,J,IF,EX,EX,EX,M,GIA,6.25,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485844781.pdf,https://v3602586.v360.in/vision360.html?d=L40009,https://v3602586.v360.in/vision360.html?d=R1.0L40009B000,,,,,,,,,,,,
R1.0L40011B1A0,Round,1,H,VVS1,EX,EX,EX,M,GIA,6.54,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482989421.pdf,https://v3602586.v360.in/vision360.html?d=L40011,https://v3602586.v360.in/vision360.html?d=R1.0L40011B1A0,,,,,,,,,,,,
R1.0L40039B000,Round,1.01,J,VS1,EX,EX,EX,M,GIA,5.75,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485688721.pdf,https://v3602586.v360.in/vision360.html?d=L40039,https://v3602586.v360.in/vision360.html?d=R1.0L40039B000,,,,,,,,,,,,
R1.0L40040A000,Round,1.09,L,VVS2,EX,EX,EX,N,GIA,3.01,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482688869.pdf,https://v3602586.v360.in/vision360.html?d=L40040,https://v3602586.v360.in/vision360.html?d=R1.0L40040A000,,,,,,,,,,,,
R1.0L40044A000,Round,1.03,M,VVS2,EX,EX,EX,F,GIA,2.55,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488688690.pdf,https://v3602586.v360.in/vision360.html?d=L40044,https://v3602586.v360.in/vision360.html?d=R1.0L40044A000,,,,,,,,,,,,
R1.0L40046B000,Round,1.17,K,VS1,EX,EX,EX,N,GIA,4.34,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487858787.pdf,https://v3602586.v360.in/vision360.html?d=L40046,https://v3602586.v360.in/vision360.html?d=R1.0L40046B000,,,,,,,,,,,,
R1.0L40049A000,Round,1.02,M,VS1,EX,EX,EX,N,GIA,2.94,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7488688246.pdf,https://v3602586.v360.in/vision360.html?d=L40049,https://v3602586.v360.in/vision360.html?d=R1.0L40049A000,,,,,,,,,,,,
R1.0L40052A000,Round,1.03,J,VS1,EX,EX,EX,N,GIA,2.85,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2486688217.pdf,https://v3602586.v360.in/vision360.html?d=L40052,https://v3602586.v360.in/vision360.html?d=R1.0L40052A000,,,,,,,,,,,,
R1.0L40053B000,Round,1,L,VVS1,EX,EX,EX,N,GIA,4.68,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5483837512.pdf,https://v3602586.v360.in/vision360.html?d=L40053,https://v3602586.v360.in/vision360.html?d=R1.0L40053B000,,,,,,,,,,,,
R1.0L40054A100,Round,1.01,K,VVS1,EX,EX,EX,N,GIA,2.74,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488688087.pdf,https://v3602586.v360.in/vision360.html?d=L40054,https://v3602586.v360.in/vision360.html?d=R1.0L40054A100,,,,,,,,,,,,
