VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video
C3.7L40119A000,CU,3.75,FLY,VVS1,,EX,EX,N,GIA,6.92,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.0L40203A000,EM,1.01,K,IF,,EX,EX,N,GIA,2.1,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.2L40047A000,EM,1.20,J,VS2,,EX,EX,N,GIA,3.57,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R.90L40202A000,RB,0.93,J,VVS1,VG,EX,VG,N,GIA,2.25,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R.90L40247A1A0,RB,0.92,G,VVS2,VG,EX,EX,M,GIA,2.26,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40006A000,RB,1.04,I,VVS1,EX,EX,EX,F,GIA,4.09,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40006B000,RB,1.02,J,VVS2,EX,EX,EX,F,GIA,4.09,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40052A000,RB,1.03,J,VS1,EX,EX,EX,N,GIA,2.85,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40057A000,RB,1.00,L,VS1,EX,EX,EX,N,GIA,2.6,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40058B000,RB,1.04,J,VVS1,EX,EX,EX,F,GIA,3.79,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40061A1A1,RB,1.01,J,VS2,EX,EX,EX,F,GIA,3.8,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40066A000,RB,1.02,J,IF,EX,EX,EX,N,GIA,3.89,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40067A000,RB,1.06,K,VS1,EX,EX,EX,M,GIA,2.74,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40070B000,RB,1.09,L,VVS2,EX,EX,EX,F,GIA,6.65,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40091A100,RB,1.09,L,VS2,EX,EX,EX,N,GIA,2.8,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40095A000,RB,1.03,K,VVS2,EX,EX,EX,F,GIA,3.1,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40155A1A0,RB,1.03,M,VS1,EX,EX,EX,M,GIA,3.13,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40170A1A0,RB,1.03,K,VS1,EX,EX,EX,N,GIA,2.76,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40246A100,RB,1.00,K,VVS2,G,EX,VG,N,GIA,2.13,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40275A1A0,RB,1.03,L,IF,EX,EX,EX,F,GIA,2.44,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40291A100,RB,1.00,K,SI1,VG,EX,VG,N,GIA,1.83,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L40297A1A0,RB,1.01,M,VVS2,VG,EX,EX,N,GIA,2.27,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.3L40158A1A0,RB,1.37,L,VVS2,EX,EX,EX,M,GIA,3.27,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.5L40037A1A1,RB,1.51,J,VS1,EX,EX,EX,N,GIA,3.71,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.5L40051A1A1,RB,1.50,K,VS2,VG,EX,EX,N,GIA,3.64,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.5L40055A100,RB,1.51,K,VVS1,EX,EX,EX,M,GIA,4.99,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.5L40079A1A2,RB,1.50,J,VS1,G,EX,VG,N,GIA,3.42,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.5L40135A1A1,RB,1.62,L,VVS2,EX,EX,EX,N,GIA,3.72,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R2.0L40013A1A0,RB,2.01,M,VS1,EX,EX,EX,N,GIA,7.52,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R2.2L40002A1A1,RB,2.26,L,VVS2,EX,EX,EX,N,GIA,5.26,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R3.0L40090A100,RB,3.01,L,VS1,VG,EX,EX,N,GIA,7.25,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R2.0L41007A000,RB,2.01,I,VVS2,EX,EX,EX,N,IGI,4.99,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
